DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2007
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"351810 Guarantã";-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;6
"351820 Guararapes";-;451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;451
"351840 Guaratinguetá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;21
"351850 Guareí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"351860 Guariba";-;-;-;-;-;-;-;-;-;-;-;-;79;-;-;-;-;79
"351870 Guarujá";-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;44
"351880 Guarulhos";928;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;928
"351885 Guatapará";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;6
"351890 Guzolândia";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"351900 Herculândia";-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;30
"351905 Holambra";-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;7
"351907 Hortolândia";-;-;-;-;-;-;1362;-;-;-;-;-;-;-;-;-;-;1362
"351910 Iacanga";-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;6
"351920 Iacri";-;-;-;-;-;-;-;-;121;-;-;-;-;-;-;-;-;121
"351930 Ibaté";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351940 Ibirá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;71
"351960 Ibitinga";-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68
"351970 Ibiúna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"351980 Icém";-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;12
"351990 Iepê";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;16
"352000 Igaraçu do Tietê";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;3
"352010 Igarapava";-;-;-;-;-;-;-;168;-;-;-;-;-;-;-;-;-;168
"352030 Iguape";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"352044 Ilha Solteira";-;1913;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1913
"352040 Ilhabela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"352050 Indaiatuba";-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;85
"352060 Indiana";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"352070 Indiaporã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;6
"352080 Inúbia Paulista";-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;33
"352100 Iperó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;8
